qms_id,production_order,product_code,customer_code,inspection_time,shift,defect_type,defect_qty
1,PO_1001,RB_V1,CUST_A,2026-01-01 06:30:34.000,Day,short_shot,2
2,PO_1001,RB_V1,CUST_A,2026-01-01 06:38:17.000,Day,adhesion_failure,3
3,PO_1001,RB_V1,CUST_A,2026-01-01 06:28:57.000,Day,thin_coating,1
4,PO_1001,RB_V1,CUST_A,2026-01-01 06:23:56.000,Day,orange_peel,3
5,PO_1001,RB_V1,CUST_A,2026-01-01 06:38:20.000,Day,sink-mark,1
6,PO_1001,RB_V1,CUST_A,2026-01-01 06:36:06.000,Day,bubble,3
7,PO_1002,RB_V2,CUST_B,2026-01-01 07:06:32.800,Day,,0
8,PO_1003,RB_V1,CUST_A,2026-01-01 07:29:57.200,Day,,0
9,PO_1004,RB_V1,CUST_A,2026-01-01 08:11:14.200,Day,,0
10,PO_1005,RB_V1,CUST_A,2026-01-01 08:56:54.800,Day,,0
11,PO_1006,DP_V1,CUST_A,2026-01-01 07:01:45.000,Day,,0
12,PO_1007,DP_V2, CUST_C,2026-01-01 06:56:00.000,Day,,0
13,PO_1008,RB_V2,CUST_B,2026-01-01 07:48:50.800,Day,,0
14,PO_1009,DB_V1,CUST_A,2026-01-01 07:32:57.900,Day,,0
15,PO_1010,FB_V1,CUST_A,2026-01-01 07:02:50.900,Day,,0
16,PO_1011,RB_V1,CUST_A,2026-01-01 09:29:13.300,Day,,0
17,PO_1012,RB_V1,CUST_A,2026-01-01 10:07:30.400,Day,,0
18,PO_1013,DP_V1,CUST_A,2026-01-01 07:40:30.000,Day,,0
19,PO_1014,FB_V2,CUST_B,2026-01-01 08:01:46.300,Day,,0
20,PO_1015,RB_V2,CUST_B,2026-01-01 08:16:47.800,Day,,0
21,PO_1016,DP_V2, CUST_C,2026-01-01 07:36:44.000,Day,,0
22,PO_1017,RB_V2,CUST_B,2026-01-01 08:59:33.700,Day,,0
23,PO_1018,DB_V1,CUST_A,2026-01-01 08:41:41.100,Day,,0
24,PO_1019,FB_V1,CUST_A,2026-01-01 08:35:21.300,Day,adhesion_failure,2
25,PO_1019,FB_V1,CUST_A,2026-01-01 08:11:46.300,Day,thin_coating,3
26,PO_1019,FB_V1,CUST_A,2026-01-01 08:18:35.300,Day,short_shot,1
27,PO_1019,FB_V1,CUST_A,2026-01-01 08:28:41.300,Day,orange_peel,3
28,PO_1020,DP_V1,CUST_A,2026-01-01 08:16:40.200,Day,,0
29,PO_1021,DB_V1,CUST_A,2026-01-01 09:32:17.100,Day,,0
30,PO_1022,RB_V2,CUST_B,2026-01-01 09:35:42.700,Day,,0
31,PO_1023,RB_V1,CUST_A,2026-01-01 10:54:39.400,Day,,0
32,PO_1024,RB_V1,CUST_A,2026-01-01 11:34:53.000,Day,,0
33,PO_1025,RB_V1,CUST_A,2026-01-01 12:15:39.800,Day,,0
34,PO_1026,DB_V1,CUST_A,2026-01-01 10:43:46.700,Day,,0
35,PO_1027,DP_V1,CUST_A,2026-01-01 08:58:42.700,Day,,0
36,PO_1028,RB_V2,CUST_B,2026-01-01 10:17:19.300,Day,,0
37,PO_1029,DB_V1,CUST_A,2026-01-01 12:03:44.700,Day,,0
38,PO_1030,RB_V2,CUST_B,2026-01-01 11:03:01.300,Day,,0
39,PO_1031,DB_V1,CUST_A,2026-01-01 12:55:49.700,Day,,0
40,PO_1032,DB_V1,CUST_A,2026-01-01 13:45:02.300,Day,,0
41,PO_1033,DP_V1,CUST_A,2026-01-01 09:45:07.300,Day,,0
42,PO_1034,FB_V1,CUST_A,2026-01-01 09:27:54.500,Day,,0
43,PO_1035,DB_V2, CUST_C,2026-01-01 14:56:10.100,Day,,0
44,PO_1036,FB_V2,CUST_B,2026-01-01 10:22:59.300,Day,,0
45,PO_1037,FB_V2,CUST_B,2026-01-01 11:10:52.700,Day,,0
46,PO_1038,RB_V2,CUST_B,2026-01-01 11:32:11.300,Day,,0
